Name,monthend_date,clean_yearmonth,date,open,high,low,close,volume,clean_date,ret
AAL,2015-01-31,2015-01,2015-01-30,52.02,52.13,48.63,49.08,18473105,2015-01-30,
NKE,2015-01-31,2015-01,2015-01-30,46.96,47.18,46.05,46.125,8106318,2015-01-30,
T,2015-01-31,2015-01,2015-01-30,32.77,33.43,32.72,32.92,56280900,2015-01-30,
VZ,2015-01-31,2015-01,2015-01-30,45.83,46.51,45.56,45.71,22768003,2015-01-30,
AAL,2015-02-28,2015-02,2015-02-27,49.0,49.4,47.85,47.9,9396398,2015-02-27,-0.024336115425841243
NKE,2015-02-28,2015-02,2015-02-27,48.475,48.7025,48.315,48.56,7118676,2015-02-27,0.05144504439055142
T,2015-02-28,2015-02,2015-02-27,34.42,34.58,34.38,34.56,19863613,2015-02-27,0.04861656812698589
VZ,2015-02-28,2015-02,2015-02-27,49.22,49.66,49.05,49.45,17571181,2015-02-27,0.07864496572506807
AAL,2015-03-31,2015-03,2015-03-31,53.66,53.73,52.68,52.78,8386414,2015-03-31,0.09701682665830846
NKE,2015-03-31,2015-03,2015-03-31,50.44,50.92,50.145,50.165,6309234,2015-03-31,0.032517425626333196
T,2015-03-31,2015-03,2015-03-31,32.97,33.03,32.65,32.65,27900236,2015-03-31,-0.05685208821341492
VZ,2015-03-31,2015-03,2015-03-31,49.09,49.1462,48.58,48.63,12785664,2015-03-31,-0.016721433653026807
AAL,2015-04-30,2015-04,2015-04-30,48.5,49.46,48.01,48.285,9400367,2015-04-30,-0.08901137765629663
NKE,2015-04-30,2015-04,2015-04-30,49.875,50.255,49.23,49.42,6496960,2015-04-30,-0.014962371817111908
T,2015-04-30,2015-04,2015-04-30,34.7,34.9,34.55,34.64,29693238,2015-04-30,0.059164227971794325
VZ,2015-04-30,2015-04,2015-04-30,50.47,50.65,50.23,50.44,15604897,2015-04-30,0.03654388668102415
AAL,2015-05-31,2015-05,2015-05-29,41.68,42.6,41.32,42.37,13236123,2015-05-29,-0.13068038878041355
NKE,2015-05-31,2015-05,2015-05-29,51.15,51.19,50.52,50.835,5562280,2015-05-29,0.028229893166660247
T,2015-05-31,2015-05,2015-05-29,34.75,34.82,34.54,34.54,29885075,2015-05-29,-0.002891010975702102
VZ,2015-05-31,2015-05,2015-05-29,49.5,49.64,49.3745,49.44,14778355,2015-05-29,-0.020024697947283343
AAL,2015-06-30,2015-06,2015-06-30,40.2,40.605,39.93,39.935,11184512,2015-06-30,-0.05918743226911527
NKE,2015-06-30,2015-06,2015-06-30,54.425,54.44,53.9,54.01,7531108,2015-06-30,0.060584120877675396
T,2015-06-30,2015-06,2015-06-30,36.03,36.15,35.46,35.52,31390076,2015-06-30,0.02797784540543713
VZ,2015-06-30,2015-06,2015-06-30,47.14,47.25,46.6,46.61,15044104,2015-06-30,-0.058944702764785806
AAL,2015-07-31,2015-07,2015-07-31,40.53,40.54,39.88,40.1,6955874,2015-07-31,0.004123201943170951
NKE,2015-07-31,2015-07,2015-07-31,57.75,57.97,57.415,57.61,5078650,2015-07-31,0.06452694913949175
T,2015-07-31,2015-07,2015-07-31,34.94,34.99,34.72,34.74,29880938,2015-07-31,-0.022204157311010775
VZ,2015-07-31,2015-07,2015-07-31,46.85,47.17,46.71,46.79,12562865,2015-07-31,0.003854394493475688
AAL,2015-08-31,2015-08,2015-08-31,38.63,39.76,38.62,38.98,12409620,2015-08-31,-0.028327640233108742
NKE,2015-08-31,2015-08,2015-08-31,56.195,56.245,55.615,55.875,7073574,2015-08-31,-0.03057911081055842
T,2015-08-31,2015-08,2015-08-31,33.2,33.28,33.01,33.2,22286485,2015-08-31,-0.045341884890515605
VZ,2015-08-31,2015-08,2015-08-31,45.95,46.1,45.61,46.01,14785808,2015-08-31,-0.01681074071074784
AAL,2015-09-30,2015-09,2015-09-30,39.18,39.68,37.72,38.83,15823720,2015-09-30,-0.003855550335838842
NKE,2015-09-30,2015-09,2015-09-30,60.37,61.56,60.37,61.485,9437808,2015-09-30,0.09567618969067748
T,2015-09-30,2015-09,2015-09-30,32.36,32.71,32.24,32.58,34815542,2015-09-30,-0.018851272748543924
VZ,2015-09-30,2015-09,2015-09-30,43.83,44.0,43.2845,43.51,20380634,2015-09-30,-0.05586796743478839
AAL,2015-10-31,2015-10,2015-10-30,45.77,46.77,45.71,46.22,8589743,2015-10-30,0.17421946110265862
NKE,2015-10-31,2015-10,2015-10-30,65.775,65.8092,65.035,65.515,7230828,2015-10-30,0.06348588143213796
T,2015-10-31,2015-10,2015-10-30,33.62,33.75,33.51,33.51,24581781,2015-10-30,0.028145298575319888
VZ,2015-10-31,2015-10,2015-10-30,46.43,46.98,46.28,46.88,14753237,2015-10-30,0.07460034853616859
AAL,2015-11-30,2015-11,2015-11-30,41.75,41.99,40.98,41.26,6450862,2015-11-30,-0.1135190972031288
NKE,2015-11-30,2015-11,2015-11-30,66.965,67.095,65.82,66.14,8738868,2015-11-30,0.009494583497097864
T,2015-11-30,2015-11,2015-11-30,33.59,33.75,33.42,33.67,24902331,2015-11-30,0.004763331423764061
VZ,2015-11-30,2015-11,2015-11-30,45.25,45.64,44.96,45.45,19399956,2015-11-30,-0.030978324645269506
